region,n_obs,n_heatwave_days,hw_coef,hw_se,hw_rr,interaction_sum,interaction_se,p50,p99
2206,4733,434,0.0032067812886077884,984716.7257412267,1.0032119285122605,0.07054918834724733,735994.5052275751,27.520785331726074,31.887511730194092
2301,5093,428,0.03105721954795699,,1.0315445267093928,0.6832588300569049,,26.50045108795166,27.550371437072755
2302,5093,458,-0.10149873333947644,,0.9034823237468891,-2.232972133468497,,27.31027126312256,28.851132488250734
2303,5072,454,0.4650187183541812,,1.5920439890514544,10.23041180377951,,27.385940551757812,30.66902114868164
2304,5093,467,0.135022500954486,,1.1445625378111444,2.9704950209974816,,26.087170600891113,30.001928691864013
2305,5053,443,-0.23953798999620815,111978.30764207397,0.7869913749746925,-5.269835779919852,,26.798277854919434,29.88539091110229
2306,5093,382,-0.24345836119130632,725603.4464462054,0.7839121165193651,-5.356083946211395,358956.58664659935,26.565309524536133,27.49244644165039
2401,5093,441,0.1289784765163878,,1.1376656373745098,2.83752648336151,,26.413768768310547,27.939595775604246
2402,4990,435,-0.21631416466959652,,0.805482208067232,-4.758911622684019,,27.16145896911621,29.645806884765623
2403,5092,439,-0.10439823151045752,5865034.507214425,0.9008664725621751,-2.2967610932352613,,27.6909236907959,29.575696716308595
2501,5093,431,0.14318267025288894,,1.1539405730308894,3.150018745564388,,26.03787612915039,27.884288997650145
2502,5093,439,0.218332138986023,579241.7324172888,1.244000179968293,4.8033070577088965,349230.50164082873,24.957371711730957,27.35325761795044
2503,5090,461,-1.4397937472516766,1959304.0161770917,0.2369766307233272,-31.675462439390472,7990674.91825052,27.37672233581543,30.37041435241699
2504,4999,441,-0.18490883614699116,1949415.15898096,0.8311800539745895,-4.067994395246089,3532934.0508327126,27.49837303161621,30.872890434265138
2601,5093,435,0.009785562114962624,618542.8747658256,1.0098335972837718,0.21528236652330657,,26.210501670837402,27.39945384979248
2602,5093,447,0.08380762094794811,5034451.113117359,1.0874196769183697,1.8437676608538456,5474348.643135742,24.32196044921875,27.269087142944336
2603,5085,462,-0.26998174812565484,524597.5464606289,0.7633934275706149,-5.939598458754803,,26.336682319641113,30.145890522003175
