region,n_obs,n_heatwave_days,hw_coef,hw_se,hw_rr,interaction_sum,interaction_se,p50,p99
290016,5406,499,-0.0701674550068418,,0.9322376989644381,-1.5436840101515883,,25.03847885131836,29.826611557006828
290017,4840,438,-0.013553980576019753,1835320.5862639095,0.9865374610199589,-0.29818757267256774,3650685.2826621775,26.382461547851562,30.88672294616699
290018,5242,497,0.006938473171057245,,1.0069626001452046,0.15264640976684074,9646131.7804502,25.219810485839844,29.904570808410647
290019,3775,346,-0.04602667712240108,669136.9006326795,0.9550164847592248,-1.0125868966930505,1600408.5395405951,24.232370376586914,29.248403739929202
290020,5310,481,-0.01329008846084434,,0.986797834831034,-0.2923819461386796,,24.49666976928711,28.565415954589838
290021,4842,436,-0.06341199409191922,943468.9564187204,0.9385567142021097,-1.395063870022572,,26.231475830078125,30.78647560119629
290022,5378,477,0.1464044123907642,5638767.973887395,1.1576642671699073,3.2208970725891897,1586372.8850720688,26.747447967529297,30.322578048706053
290023,5229,464,-0.2381181351748783,1576433.1126170887,0.7881095821308486,-5.238598973849017,,25.046480178833008,28.86562530517579
290024,4709,408,0.34907020046228576,13402882.69587463,1.417748713463751,7.679544410169992,6674004.158920524,26.591052055358887,30.283631477355957
290025,4742,395,-0.4185054614806011,67590992.08981526,0.6580295357668208,-9.207120152534813,137233985.84560633,25.921586990356445,29.217342720031738
290026,4755,396,0.4556397593400605,2757456.6677303184,1.577182077303728,10.024074705556789,1171456.5701815293,25.59260082244873,29.255829334259033
290027,4149,329,1.4929643410524611,2203570.7609923887,4.450268097766367,32.84521550331284,1463899.2123742714,25.35590362548828,28.620829200744634
290028,3225,269,0.31692838277024815,6557671.643317459,1.3729042448058153,6.972424420925366,,25.215837478637695,28.696814537048354
290029,5458,486,-0.21365322964082428,,0.8076283980594404,-4.700371052089505,692974.0520084393,25.404630661010742,29.052742500305175
290030,5294,472,0.12102718929813053,,1.1286555993037402,2.6625981645590517,,23.942535400390625,27.70460922241211
290031,5034,432,0.012969044263783591,3343177.6293910686,1.0130535070572835,0.2853189738000732,3394105.334003376,24.325725555419922,28.00094825744629
290032,4735,411,-0.33004898084830475,,0.7188885207999756,-7.261077578660524,,26.052664756774902,29.862448787689207
290033,4581,369,0.15408122466562998,,1.1665856384587132,3.3897869426215497,,25.816312789916992,29.335423202514644
290034,4579,411,-0.05284286708058124,542553.5036476967,0.9485290459111002,-1.1625430757735007,3091923.269835924,22.102767944335938,25.72445388793946
310001,5458,484,-0.05806763855547349,209967.7369533415,0.9435861224760197,-1.2774880482215507,1124016.5864344162,21.295740127563477,26.162105598449713
310002,5393,485,-0.013363134557808904,1166104.5248707961,0.9867257557332869,-0.2939889602712497,,22.291034698486328,27.633458824157714
310003,5068,423,0.07089342368027673,,1.0734668136293064,1.5596553209662456,794810.0134552951,20.268508911132812,24.88356674194336
310004,4918,446,-0.7616067302872274,1272143.7045237338,0.4669156165338022,-16.755348066322725,1460001.4004509605,23.382978439331055,29.08169792175293
310005,4463,373,0.1384940936763248,4733302.173075038,1.1485428978840355,3.0468700608808557,37356106.51928667,21.706881523132324,26.599184303283693
310006,5456,503,0.10441562135838611,,1.110061724414008,2.297143669882524,3370016.1416552914,23.79269027709961,29.15111961364746
310007,4785,451,-0.3461429389713672,,0.7074113632268091,-7.615144657363096,1647324.3348927605,25.425636291503906,30.799561119079588
310008,4827,423,-0.09700932667029614,,0.9075475416971007,-2.134205186747996,536029.0772964439,23.096900939941406,27.931047668457023
310009,4344,398,-0.8088849725638613,,0.44535437181772397,-17.79546939638294,452420.4169409666,25.016939163208008,30.26094444274902
310010,4181,383,-0.38547358067512666,5704891.446347629,0.6801284642261364,-8.480418774881079,,24.529449462890625,30.392489204406736
310011,3599,334,0.3068378201835559,15887890.750540316,1.3591205282792196,6.750432044071113,,25.248059272766113,30.91185173034668
310012,3801,331,-0.015940265737464345,,0.9841861079307975,-0.3506858462242486,8677022.34253417,24.443605422973633,29.47688039779663
310013,5443,462,-0.1387562412392919,3641225.0522948913,0.8704401800198525,-3.052637307263305,1501250.5507441307,23.48689079284668,28.298943290710447
310014,4383,373,-0.07213402398650583,,0.9304061907079065,-1.5869485277033157,1617390.2348109551,22.500137329101562,27.460916023254395
310015,4777,394,-0.3155164987326897,3981780.907492347,0.7294120365668411,-6.941362972125151,3348723.484580735,23.596734046936035,27.729494438171383
310016,4315,367,0.09900204321624553,,1.104068555407386,2.178044950758613,,21.459917068481445,26.489707183837883
310017,3971,340,-0.21916755508919555,,0.8031871287873701,-4.821686211961628,,24.503507614135742,29.481732387542724
310018,3492,272,-0.04285059084852821,,0.9580545214873115,-0.9427129986679068,7274688.549775894,22.787975311279297,27.343355865478518
310019,2719,201,0.028755513881740555,2536842.874058774,1.0291729452156155,0.6326213053980249,6805307.799124276,24.262707710266113,29.86475557327271
310020,5439,455,-0.06359988786646967,,0.9383803818048473,-1.3991975330640476,,24.323427200317383,29.137895050048826
310021,5009,427,0.08518272772727768,,1.088916023670569,1.8740200099994428,,22.29256820678711,27.272823028564453
310022,3359,250,0.12138134691992881,17676.319998702613,1.129055392077269,2.670389632238609,1556328.7546860601,23.783350944519043,28.3873659324646
310023,3376,262,0.18890583859820798,,1.2079272070086946,4.15592844915385,2869950.230711304,24.079833984375,28.600654296875
310024,5447,451,-0.07380675051400495,172578.09370873394,0.9288511765106884,-1.6237485113074306,,23.348228454589844,28.28650634765625
310025,5202,434,0.09258036268032241,1972127.5487876947,1.097001295982556,2.0367679789684368,4527950.265907883,22.91579246520996,27.65610614776611
310026,4610,378,-0.004831470742862814,,0.9951801820376639,-0.10629235634290368,,21.564453125,26.48776245117187
310027,5456,462,0.06792092622239226,495066.2035735515,1.0702806739966408,1.494260376892263,420860.22340353427,20.38876724243164,25.303061141967774
310028,5381,455,0.003942756337589554,678194.3937074874,1.0039505392266752,0.08674063942791854,,21.85335350036621,26.296592445373534
310029,5343,453,-0.38283821425258746,1529052.5021231768,0.6819232158190778,-8.4224407135667,,21.96083641052246,26.922085304260253
310030,5129,425,0.19958238678503393,506709.40861603484,1.2208927907195488,4.390812509276134,1642490.5318381723,22.1004695892334,26.872714252471926
310031,5107,428,-0.09158101429812447,,0.9124873886321211,-2.0147823145584907,,21.979202270507812,27.093088073730467
310032,5191,420,-0.2505072164567569,2152162.172469317,0.7784058626612282,-5.511158762045113,8204958.549655278,23.1290283203125,28.356675910949708
310033,4839,410,-0.08656342463889122,,0.9170773816383443,-1.904395342054376,,21.1451416015625,25.9046728515625
310034,4495,366,0.008538188544340061,3201273.675625078,1.008574742837901,0.1878401479755969,1094252.4315318766,20.807926177978516,25.52379913330078
310035,3953,321,-0.006637331978505566,,0.9933846464564507,-0.14602130352725817,,21.816268920898438,27.023939514160155
310036,3532,274,0.05162650924346414,,1.0529823898717374,1.1357832033554782,,22.83911895751953,28.2295068359375
310037,5289,443,-0.03138022989855665,4159629.7798000993,0.9691070195491974,-0.6903650577679237,3160035.61518007,19.900390625,24.56420867919922
310038,5380,466,0.06856348384226266,972294.5302746848,1.0709686119953492,1.5083966445290728,1777525.7086644901,20.21617317199707,24.84879493713379
310039,5130,435,-0.11982956990379066,,0.8870716075341798,-2.6362505378835475,,20.315418243408203,24.881070137023926
310040,5014,429,0.013029726501327886,1208482.241080103,1.0131149832760822,0.2866539830299015,2201239.347267314,21.030487060546875,25.780922241210934
310041,5315,454,0.18105543587281092,941075.8923342156,1.198481616326134,3.9832195892056044,2601734.7794083464,22.001320838928223,27.210711479187005
310042,5310,458,-0.050538566620987914,340932.41476679005,0.9507172620129661,-1.1118484656625371,,21.54940414428711,26.404013252258295
310043,5228,446,0.050972228839125916,1549996.7887142163,1.0522936694606346,1.1213890344620676,2946754.9101920174,20.7701416015625,25.529458007812497
310044,4970,428,0.15076266065167188,,1.1627206659660734,3.3167785343395777,,21.156618118286133,26.206720352172855
