region_code,region_name,heat_log_rr,heat_se,cold_log_rr,cold_se,n_obs,temp_p50,ac_pct,hdi,gdp_per_capita,urban_pct,elderly_pct,hospital_beds,physicians,mean_temp,macro_region,ac_pct_z,hdi_z,urban_pct_z,elderly_pct_z,mean_temp_z,hospital_beds_z
160003,,0.3399371645725315,0.32821799277500013,-0.16011882754183013,0.5115845482420281,1013,26.494675636291504,,,19541.83148440056,57.93207030901466,7.41456740921393,,,,,,,-0.783022982904416,-2.2964881074666756,,
160004,,0.2983540433069245,0.1499715142222849,-0.1528879980848111,0.4821252567368709,723,25.982528686523438,,,35633.67749916734,55.959461388399866,7.570062330494362,,,,,,,-0.918949609789984,-2.2548468766099075,,
170001,,-0.020779166555615597,0.08267972847076847,-0.09107547214454449,0.19570273515430234,4350,26.120710372924805,,,34006.69780717271,72.49341911963111,8.840565805805566,,,,,,,0.22035635196871117,-1.9146085711777536,,
170002,,-0.0405310642703796,0.10111077426206862,0.09727879755322233,0.13723396227024356,3602,26.65223503112793,,,48864.01990202868,67.25654638249853,13.869867405298658,,,,,,,-0.1405010076165686,-0.5677715990871351,,
170003,,0.02276517240522749,0.14235052467412965,-0.19251312147296845,0.1816931207743396,3607,27.180245399475098,,,39151.80928973546,68.62264808940996,13.432253350382783,,,,,,,-0.04636699298116124,-0.6849637731907124,,
170004,,0.04071269478925754,0.08838834764831843,0.15762133243395113,0.29532903392868437,2165,26.873287200927734,,,31926.053022535623,74.7714004728924,14.946328806679082,,,,,,,0.3773252869771383,-0.27949737537508684,,
170005,,0.10843470373437913,1.0448908435812805,0.41918127430413993,2.516886329748525,5066,27.011154174804688,,,31184.963534678587,75.35203315753816,12.187985706125378,,,,,,,0.41733496221413996,-1.0181761752130685,,
170006,,-0.0338890097264011,0.18221724671391562,-0.08741736793873006,0.6800017233434045,3054,26.947044372558594,,,38888.3582228642,70.21992870954966,14.162570183817532,,,,,,,0.06369687452766595,-0.4893863767766247,,
170007,,0.11879962526714573,0.7973344263858171,0.44124461322866815,1.2352647110032733,2497,27.087410926818848,,,29218.3551318998,71.45390632422333,13.08864046616208,,,,,,,0.14872661005305035,-0.7769826206191074,,
170008,,-0.12960840484715444,0.20728904939721246,0.1297559784924888,0.7055946212459744,2145,27.350749015808105,,,19689.55102390541,74.32953474423786,14.092622740125096,,,,,,,0.34687763087831797,-0.5081181631697286,,
