region_code,n_days,n_years,total_deaths,mmt,mmt_percentile,mean_pop,temp_range,total_heat_an,total_cold_an,total_heat_af_pct,total_cold_af_pct,p2_5,p97_5,n_heat_days_97_5,n_cold_days_2_5,heat_an_97_5,cold_an_2_5,heat_af_pct_97_5,cold_af_pct_2_5,heat_annual_97_5,cold_annual_2_5,heat_rate_per_100k_97_5,cold_rate_per_100k_2_5,p1,p99,n_heat_days_99,n_cold_days_1,heat_an_99,cold_an_1,heat_af_pct_99,cold_af_pct_1,heat_annual_99,cold_annual_1,heat_rate_per_100k_99,cold_rate_per_100k_1,protective_heat_deaths,protective_cold_deaths
240008,4311,11.80287474332649,8588.0,23.273874282836914,1.0023310023310024,19170.0,5.152606964111328,8209.308102404457,0.0,95.59045298561314,0.0,23.62865447998047,28.202857971191406,108,107,222.88498588536066,39.67170268741582,2.595307241329304,0.4619434407011623,18.883957572402686,3.361189841470338,98.50786422745271,17.53359333057036,23.274391174316406,28.426998138427734,44,44,94.95203256331227,0.0008260279888650939,1.1056361500152803,9.618397634665742e-06,8.04482252232656,6.99853219515137e-05,41.965688692365994,0.00036507731847424985,0.0,46.24629036079557
240011,4996,13.678302532511978,13799.0,25.471406936645508,1.0050251256281406,33240.0,3.7562026977539062,13349.541937357595,0.0,96.74282148965574,0.0,25.74674415588379,29.032821655273438,125,125,352.99961637836657,77.61681255041714,2.5581536080757052,0.5624814301791227,25.807267790672217,5.674447714979956,77.6391931127323,17.071142343501673,25.471996307373047,29.228199005126953,50,50,145.99998108900775,0.0,1.0580475475687205,0.0,10.673837688702978,0.0,32.111425056266484,0.0,0.0,89.64136957368683
240010,5259,14.39835728952772,17977.0,24.59369659423828,1.0118365788468882,40298.0,5.839851379394531,13213.031567728991,0.0,73.49964714762748,0.0,25.01581382751465,30.129053115844727,132,132,330.16003258486546,23.79433615915956,1.836569130471522,0.13235988295688692,22.9303958740487,1.6525729762565182,56.902069269067205,4.100880878099455,24.593935012817383,30.433786392211914,53,53,90.74967377911798,0.0,0.5048098891868387,0.0,6.3027796820351485,0.0,15.640428016365945,0.0,14.77956378501488,36.225054526629606
240007,5014,13.727583846680355,14166.0,28.72262191772461,67.79491287802925,30969.0,5.770486831665039,1734.6248481020575,1712.915306982798,12.244986927164037,12.091735895685432,25.215307235717773,30.321352005004883,126,126,370.79587588541096,184.21782162012934,2.617505830053727,1.3004222901322133,27.011007911277694,13.419537165287643,87.2195030878546,43.332161727171176,24.81810188293457,30.58858871459961,51,51,138.99215868134462,87.209698898428,0.9811672926820882,0.6156268452522096,10.12502711574813,6.352880439300126,32.69407186460051,20.513676383803563,0.004250529715046455,0.0
250003,4525,12.388774811772759,9768.0,26.666744232177734,70.73712255772647,20459.0,3.886526107788086,975.2156859749508,3865.4068949015636,9.983780568949129,39.572142658697416,24.32429313659668,27.678483963012695,114,114,253.57020834757256,252.62401772280418,2.595927603885878,2.5862409676781755,20.46773891689522,20.391364082487122,100.04271429148649,99.6694075100793,24.072275161743164,27.95880126953125,46,46,103.35126432928617,100.42219460332451,1.0580596266306939,1.0280732453247798,8.342331336192656,8.105902006378846,40.775850902745276,39.62022584866732,0.0,0.008063303068570025
240009,5436,14.882956878850102,29571.0,25.578941345214844,1.0156971375807942,67599.0,4.310085296630859,27975.03922857397,0.0,94.60295298966544,0.0,25.966596603393555,29.599185943603516,136,136,721.6154949997415,162.7395873716801,2.440281001656155,0.5503350829247577,48.48603008621332,10.934627352374202,71.72595761211456,16.17572353492537,25.582260131835938,29.892345428466797,55,55,326.97204066208474,0.0,1.1057185778704972,0.0,21.969561782896697,0.0,32.499832516600385,0.0,0.0,176.3833572669768
250001,5479,15.000684462696784,91038.0,26.59181785583496,63.68633198973983,202655.0,3.9078102111816406,8894.945576853142,24774.092555228563,9.770585444378328,27.21291389884286,24.456087112426758,27.840879440307617,137,137,1908.9910893044091,2005.592753835111,2.0969167702546287,2.203028135322734,127.26026562665366,133.70008274106118,62.79650915430345,65.97423342185546,24.183944702148438,28.091754913330078,55,55,873.5640574850096,786.2222383509327,0.9595598074265796,0.8636198492398038,58.23494652243105,52.412424266778274,28.7360028237305,25.862882369928336,0.13141698944710126,0.0
250002,5407,14.803559206023271,25151.0,26.43238067626953,90.15967322688452,50105.0,4.8787078857421875,422.8653385957339,14033.919615643004,1.6813062645450831,55.798654588855335,22.565074920654297,26.942604064941406,136,136,263.6498894866917,607.7389947476231,1.0482680191113343,2.416361157598597,17.809898674868528,41.05357274488059,35.54515252942526,81.9350818179435,22.29261589050293,27.171323776245117,55,55,128.89097887043349,249.34663151584448,0.5124686051068883,0.9913984792487156,8.706756062960206,16.843694684882966,17.37702038311587,33.61679410215142,0.0,0.0
250005,5479,15.000684462696784,69717.0,24.396574020385742,40.051300842799556,146289.0,5.709054946899414,19138.607560930264,9880.087601207382,27.451851859561177,14.171705037806248,21.78678321838379,26.921619415283203,137,137,1667.0901784844004,1409.6306240523693,2.3912247780088074,2.0219324182801457,111.13427408129718,93.97108695658476,75.96898883805152,64.23660490985976,21.51283836364746,27.221893310546875,55,55,701.6054369724916,580.3904685015726,1.0063620594295388,0.8324948986639882,46.77156157222167,38.690932400109396,31.97202904676474,26.4482855170993,0.0,0.03577707884973985
250007,3114,8.525667351129364,4733.0,27.838970184326172,98.99773682508891,9724.0,6.726707458496094,0.0,4065.289669219701,0.0,85.8924502264885,21.426158905029297,27.500783920288086,78,78,27.566494020966957,103.40781782977409,0.5824317350721943,2.1848260686620344,3.2333532245209313,12.128999827336218,33.251267220494974,124.73261854520996,21.109407424926758,27.83611488342285,32,32,1.98253636208619e-05,41.996800282050316,4.1887520855402285e-07,0.8873188312286143,2.325373815838089e-06,4.925925273930275,2.3913757875751634e-05,50.65739689356515,36.16659066474336,0.0
