region_code,first_treatment_date,total_households_electrified,n_treated_municipalities,first_treatment_year,log_households,treatment_cohort
430018.0,2004-11-01,1035,16,2004,6.943122422819428,2004
430019.0,2004-12-01,1001,12,2004,6.90975328164481,2004
430020.0,2004-10-01,1176,8,2004,7.0707241072602764,2004
430021.0,2004-11-01,1815,16,2004,7.504391559161238,2004
430022.0,2004-07-01,1787,9,2004,7.488852955733459,2004
430023.0,2004-11-01,686,8,2004,6.532334292222349,2004
430024.0,2005-01-01,643,8,2005,6.467698726104354,2005
430025.0,2005-07-01,773,16,2005,6.651571873589727,2005
430026.0,2004-08-01,780,30,2004,6.660575149839686,2004
430027.0,2005-01-01,956,11,2005,6.863803391452954,2005
430028.0,2004-09-01,271,15,2004,5.605802066295998,2004
430029.0,2004-09-01,1942,18,2004,7.57198844937744,2004
430030.0,2004-09-01,356,12,2004,5.877735781779639,2004
430031.0,2005-01-01,2202,8,2005,7.697575346802343,2005
430032.0,2004-11-01,482,11,2004,6.180016653652572,2004
430033.0,2004-11-01,936,8,2004,6.842683282238422,2004
430034.0,2005-01-01,631,8,2005,6.448889394146858,2005
430035.0,2004-11-01,1005,6,2004,6.913737350659685,2004
430036.0,2004-10-01,1908,18,2004,7.554334823725748,2004
430037.0,2004-10-01,513,13,2004,6.2422232654551655,2004
430038.0,2004-10-01,245,14,2004,5.5053315359323625,2004
430039.0,2005-01-01,1526,8,2005,7.3310603052186325,2005
430040.0,2004-08-01,6657,14,2004,8.80357441813497,2004
430041.0,2004-08-01,4090,24,2004,8.316544717929398,2004
430042.0,2004-07-01,2202,9,2004,7.697575346802343,2004
430043.0,2004-10-01,414,9,2004,6.028278520230698,2004
500001.0,2004-08-01,12291,13,2004,9.416703923250376,2004
500002.0,2005-01-01,1791,6,2005,7.491087593534876,2005
500003.0,2005-03-01,1688,5,2005,7.4318919168078,2005
500004.0,2004-11-01,2779,7,2004,7.930206206684683,2004
500005.0,2004-09-01,4255,13,2004,8.35608503102148,2004
500006.0,2004-10-01,2916,6,2004,7.978310969867722,2004
500007.0,2004-12-01,2719,7,2004,7.908387159290043,2004
500008.0,2004-11-01,4450,3,2004,8.400884069015854,2004
500009.0,2004-11-01,2272,4,2004,7.728855823852543,2004
500010.0,2005-04-01,2628,2,2005,7.874358824729881,2005
500011.0,2004-08-01,2579,7,2004,7.855544677915663,2004
500012.0,2004-12-01,2778,4,2004,7.929846429742503,2004
510001.0,2004-09-01,20633,13,2004,9.934695479660322,2004
510002.0,2005-02-01,5709,8,2005,8.649974302650056,2005
510003.0,2004-10-01,3378,8,2004,8.12533508671429,2004
510004.0,2005-03-01,3550,5,2005,8.174984532943087,2005
510005.0,2005-07-01,7334,7,2005,8.900412690577083,2005
510006.0,2005-03-01,3690,9,2005,8.213652703029998,2005
510007.0,2004-12-01,7836,12,2004,8.966611387052865,2004
510008.0,2004-11-01,5729,9,2004,8.653470809708786,2004
510009.0,2005-02-01,17656,7,2005,9.778887584302797,2005
510010.0,2005-01-01,9993,6,2005,9.20974019190415,2005
510011.0,2004-11-01,6135,4,2004,8.721928343047091,2004
510012.0,2005-03-01,5549,4,2005,8.62155320674048,2005
510013.0,2005-02-01,4294,9,2005,8.365206834418355,2005
510014.0,2005-09-01,18730,12,2005,9.837935184295892,2005
510015.0,2005-05-01,10722,8,2005,9.280146246220145,2005
510016.0,2004-10-01,4296,10,2004,8.365672383774996,2004
510017.0,2005-03-01,2669,3,2005,7.8898337513942955,2005
510018.0,2004-12-01,1127,4,2004,7.028201432058005,2004
520001.0,2004-11-01,1801,19,2004,7.496652438168283,2004
520002.0,2004-12-01,4408,18,2004,8.391403185357937,2004
520003.0,2004-12-01,1235,13,2004,7.119635638017636,2004
520004.0,2005-02-01,1364,10,2005,7.21890970761906,2005
520005.0,2005-02-01,3106,15,2005,8.041412909393047,2005
520006.0,2005-04-01,755,5,2005,6.628041376179533,2005
520007.0,2005-01-01,533,8,2005,6.280395838960195,2005
520008.0,2005-01-01,776,6,2005,6.655440350367647,2005
520009.0,2005-05-01,872,8,2005,6.771935555839602,2005
520010.0,2004-11-01,1251,14,2004,7.132497551660044,2004
520011.0,2005-02-01,2594,10,2005,7.861341795599989,2005
520012.0,2005-09-01,444,5,2005,6.09807428216624,2005
520013.0,2005-02-01,1101,9,2005,7.004881989712859,2005
520014.0,2005-03-01,2139,12,2005,7.668561108015897,2005
520015.0,2005-01-01,1578,14,2005,7.364547014255642,2005
520016.0,2004-11-01,5299,13,2004,8.575462099540212,2004
520017.0,2004-11-01,3660,9,2004,8.205491613120236,2004
520018.0,2004-09-01,5807,23,2004,8.666991556504632,2004
520019.0,2005-04-01,2059,5,2005,7.630461261783627,2005
520020.0,2005-01-01,4395,7,2005,8.388450315523512,2005
520021.0,2004-11-01,4835,14,2004,8.483843211734683,2004
520022.0,2005-01-01,5303,7,2005,8.576216531865699,2005
