region_code,n_days,n_years,total_deaths,pop_elderly,heat_an,cold_an,yll_heat,yll_cold,yll_total,annual_yll_heat,annual_yll_cold,annual_yll_total,yll_rate_heat,yll_rate_cold,yll_rate_total
270002,4601,12.5968514715948,10198,21429,182.398479606466,0.123878992745055,2336.77104341172,1.58705732502933,2338.35810073675,185.504373746171,0.125988412946526,185.630362159117,865.669764086848,0.587934168400418,866.257698255249
270003,4571,12.5147159479808,10663,23461,193.882341439024,0.330932218494553,2483.89483443652,4.23968898851862,2488.13452342504,198.477923491127,0.338776285945402,198.816699777072,845.990893359733,1.44399763840161,847.434890998135
270004,4226,11.5701574264203,8284,17717,152.325128436651,0.129846360749253,1951.49076945551,1.66350737432622,1953.15427682984,168.665878737251,0.143775690599302,168.80965442785,952.000218644528,0.811512618385177,952.811731262913
270005,4401,12.0492813141684,9202,18162,23.4862693025606,74.1989556083744,300.89085250274,950.588904529962,1251.4797570327,24.9716845890992,78.8917512791565,103.863435868256,137.494133845938,434.378104168905,571.872238014843
270006,3818,10.4531143052704,6604,14239,38.1058224802702,32.939090237957,488.187087685166,421.994264592845,910.181352278011,46.7025494439514,40.3701951656721,87.0727446096235,327.990374632709,283.518471561711,611.50884619442
270007,5455,14.9349760438056,32363,71804,820.883933901424,59.3846903314867,10516.6326544026,760.798144195007,11277.4307985976,704.161334009268,50.9407006722689,755.102034681537,980.671458427481,70.9440987581038,1051.61555718558
270008,4896,13.4045174537988,12878,26330,138.77414261928,74.0978033390015,1777.88432637531,949.293007247507,2727.17733362281,132.633221039334,70.8188870296468,203.452108068981,503.734223468796,268.966528787113,772.700752255909
270009,4266,11.6796714579055,8581,19651,525.642951979108,17.1652965835728,6734.19664466707,219.910648896906,6954.10729356398,576.574150132362,18.8284961344574,595.402646266819,2934.07027699538,95.814442697356,3029.88471969274
270010,4201,11.501711156742,8154,17751,285.171194256036,30.8831028860769,3653.42841996486,395.654287856965,4049.08270782183,317.64216386388,34.3996021518105,352.041766015691,1789.43250444415,193.789657775959,1983.2221622201
270011,3725,10.1984941820671,6465,14686,434.370311318181,6.33431386127429,5564.87075876962,81.1511216696706,5646.02188043929,545.656119366604,7.95716703083144,553.613286397436,3715.48494734172,54.1819898599445,3769.66693720166
280001,5478,14.9979466119097,59324,150415,1006.3739982896,3.58500540598157,12893.0110772823,45.9287645447854,12938.9398418271,859.651751730073,3.06233684738642,862.71408857746,571.519962590216,2.03592517194856,573.555887762165
280002,4970,13.6071184120465,13301,30397,230.214109247599,2.08202259360163,2949.35388406352,26.6735233701191,2976.02740743364,216.750806067245,1.96026245692878,218.711068524173,713.066440988402,6.448868167677,719.515309156079
280003,4579,12.5366187542779,10090,20487,175.754917852312,0.358938710076553,2251.65803827199,4.59848999770232,2256.25652826969,179.606485800141,0.366804645481715,179.973290445622,876.685145702838,1.79042634588624,878.475572048725
280004,5125,14.031485284052,15259,35730,335.92587405789,36.9081970642465,4303.66446543243,472.843887461918,4776.50835289435,306.714818731551,33.6987765649689,340.41359529652,858.42378598251,94.3150757485836,952.738861731094
280005,5192,14.2149212867899,16824,37282,232.493061152379,54.3223846095534,2978.55033806856,695.943165965836,3674.49350403439,209.536885781883,48.9586366273153,258.495522409199,562.032309913318,131.319769935399,693.352079848717
280006,4139,11.3319644079398,7985,20298,351.105122670849,11.1835900844895,4498.13115559367,143.276904101426,4641.40805969509,396.9418711236,12.6436069637704,409.585478087371,1955.57134261307,62.2899150840989,2017.86125769717
290001,5479,15.0006844626968,211557,534315,3178.39256735655,29.4162537139018,40719.5045266733,376.861967449544,41096.3664941229,2714.50976973306,25.122984780242,2739.6327545133,508.035479021375,4.70190520203287,512.737384223407
290002,5441,14.8966461327858,29670,67128,446.517019148802,3.78706985046891,5720.48650289544,48.5174831777468,5769.00398607319,384.01170652133,3.25694003504355,387.268646556373,572.058912110192,4.85183535192998,576.910747462122
290003,5301,14.5133470225873,19507,42970,36.6218241396411,258.828681441617,469.175063251986,3315.94522773515,3785.12029098713,32.3271442846232,228.475569596352,260.802713880975,75.2318926800632,531.709494057137,606.9413867372
290004,5295,14.4969199178645,19190,43034,171.007037796964,110.772947567341,2190.83127779204,1419.15117290019,3609.98245069223,151.123913921349,97.8932891221517,249.0172030435,351.173290703511,227.478944839317,578.652235542827
290005,4798,13.1362080766598,11931,30960,94.1602256199565,23.4860371023703,1206.31975192204,300.887877704474,1507.20762962651,91.8316568131565,22.9052307902374,114.736887603394,296.613878595467,73.9833035860382,370.597182181505
290006,4682,12.8186173853525,10838,26795,121.925589307574,14.7794230863692,1562.03158688363,189.344384783643,1751.37597166727,121.856479519275,14.7710458227736,136.627525342048,454.773202161876,55.1261273475408,509.899329509417
290007,5476,14.9924709103354,50323,108762,481.921782434404,49.5041390471314,6174.06937169534,634.214928238159,6808.2842999335,411.811329074456,42.3022283672366,454.113557441693,378.635303759085,38.8943090116369,417.529612770722
290008,5373,14.7104722792608,25631,64324,240.322957885334,44.1411161498575,3078.86189767119,565.507356560246,3644.36925423143,209.297284221924,38.442501765053,247.739785986977,325.37977150352,59.7638544945168,385.143625998037
290009,5216,14.280629705681,18264,46984,179.07144443107,20.6585083711421,2294.14722617897,264.663413126675,2558.81063930565,160.647483581647,18.5330352079215,179.180518789569,341.919554702978,39.4454180315032,381.364972734481
290010,4398,12.041067761807,9123,21556,103.359406816889,5.04631393687256,1324.17369615704,64.6501018489344,1388.82379800597,109.971451232687,5.36913362899574,115.340584861683,510.16631672243,24.9078383234168,535.074155045847
290011,5479,15.0006844626968,56088,140069,148.505448666695,994.196695358821,1902.55550913538,12737.0033685728,14639.5588777082,126.831246525223,849.094812989819,975.926059515041,90.5491197375742,606.197526211952,696.746645949526
290012,5419,14.8364134154689,25899,58067,23.7058090522073,546.982167786216,303.703453413445,7007.58084005482,7311.28429346827,20.470139575431,472.323104231411,492.793243806842,35.2526212400003,813.410550280557,848.663171520557
290013,5118,14.0123203285421,15995,41932,60.5655692208018,242.280955478798,775.926798777443,3103.94649316424,3879.87329194169,55.3746118119306,221.515524937132,276.890136749062,132.058122226296,528.273216009567,660.331338235863
290014,4993,13.6700889801506,14032,34151,28.7983888772416,191.136393142806,368.946283820135,2448.71552549079,2817.66180931092,26.9893110685568,179.129450367616,206.118761436173,79.0293434117795,524.521830598273,603.551174010053
290015,4523,12.3832991101985,10097,22868,86.3659342875018,111.923288257754,1106.4643456221,1433.88859188096,2540.35293750305,89.3513381026908,115.792130927375,205.143469030066,390.726509107446,506.350056530415,897.076565637862
290016,5427,14.8583162217659,28358,80692,717.486019248138,115.636981499606,9191.96562081628,1481.46602153057,10673.4316423468,618.641135618785,99.7061846994733,718.347320318259,766.669726390206,123.563903112419,890.233629502626
290017,4861,13.3086926762491,12548,33144,830.819865013309,7.65652165116559,10643.9253607984,98.090390480779,10742.0157512792,799.772420907557,7.37040014875636,807.142821056313,2413.02323469574,22.2375095002304,2435.26074419597
290018,5263,14.4093086926763,19906,61115,603.071954933529,28.4685011445787,7726.16682125245,364.719976106789,8090.88679735924,536.192747760298,25.3114138842873,561.504161644585,877.350483122471,41.4160416989075,918.766524821378
290019,3796,10.3928815879535,6760,22763,111.666750489201,44.7149707613266,1430.60199634359,572.859209723181,2003.46120606677,137.652101992754,55.1203441389333,192.772446131688,604.718631080061,242.148856209345,846.867487289407
290020,5331,14.5954825462012,22866,58984,236.905416926439,149.162264482856,3035.07857902922,1910.97020745617,4946.0487864854,207.94643612651,130.928881686995,338.875317813505,352.547192673454,221.973555009824,574.520747683278
