region,n_days,temp_range,temp_mean,temp_sd,temp_p1,temp_p99,deaths_total,deaths_mean,deaths_zero_pct,converged,vcov_finite,vcov_positive,rr_p99,rr_p99_se,rr_p1,rr_p1_se,se_category,status
2402,5374,8.48371124267578,27.1166684001984,1.30507273049952,24.1973213386536,29.6467913246155,22754,4.23409006326759,0,TRUE,TRUE,TRUE,1.02197238705412,0.52995993748515,1.13947909264754,0.767474060099314,valid,success
2403,5478,6.49739265441895,27.6739790339503,0.94102056022688,25.4635093688965,29.5790386390686,61347,11.1987951807229,0,TRUE,TRUE,TRUE,1.2182804274078,0.675764871617818,1.23662954214451,0.600664792904869,valid,success
2501,5479,5.38372230529785,25.9652147622064,0.95302686684957,23.9177149200439,27.8812576293945,130917,23.894323781712,0,TRUE,TRUE,TRUE,1.72799970244742,0.471671284930603,1.87669478736116,0.661647250655392,valid,success
2502,5479,8.45451545715332,24.7204728451148,1.46559248898461,21.5601523590088,27.3489231109619,86479,15.7837196568717,0,TRUE,TRUE,TRUE,1.36564085194773,0.45632714704877,1.58622099522195,0.642078896764873,valid,success
2503,5476,9.78458404541016,27.3776468924139,1.5755907864894,24.0208892822266,30.3797869682312,43762,7.99159970781592,0,TRUE,TRUE,TRUE,1.34006698967417,0.611155537634346,1.31218086469647,0.49080601693557,valid,success
2504,5382,9.97633361816406,27.6227909362436,1.67032362429261,24.1884623336792,30.8676705741882,22856,4.24674842066146,0,TRUE,TRUE,TRUE,1.66164467242717,1.13607473106354,1.71060963732659,0.919404881248612,valid,success
2601,5479,2.94565773010254,26.2462146360088,0.424259480986689,25.3835146331787,27.381682472229,391735,71.4975360467239,0,TRUE,TRUE,TRUE,1.20760085473008,0.127772965657281,1.5792249737455,0.237320235905498,valid,success
2602,5479,8.60238838195801,24.042425188711,1.77063675511479,20.3196924972534,27.2698732376099,159700,29.1476546815112,0,TRUE,TRUE,TRUE,1.13417627268747,0.0513080572282101,1.30665561742093,0.0783348938853636,valid,success
2603,5471,10.3896179199219,26.1566700751462,2.07769064380588,21.8709625244141,30.1132078170776,36456,6.6634984463535,0,TRUE,TRUE,TRUE,1.35130019244202,0.13709784041443,1.15110549761288,0.122560729125242,valid,success
2604,5476,10.0926895141602,26.6418067957904,1.92911301144643,22.9634857177734,30.9146008491516,49086,8.96384222059898,0,TRUE,TRUE,TRUE,1.54463415675692,0.126011216228028,1.18804638131636,0.101243682802684,valid,success
2701,5479,5.65547180175781,25.9218832852523,0.981573177939532,23.7936143493652,28.0338554000855,119518,21.8138346413579,0,TRUE,TRUE,TRUE,1.39707946795005,0.227139459040246,1.64969279311994,0.418913076113653,valid,success
