region_code,n_days,n_deaths,mmt,rr_p99,rr_p99_lo,rr_p99_hi,rr_p1,rr_p1_lo,rr_p1_hi,in_mvmeta,conv_status,conv_heat,conv_cold,conv_mmt,region_name,primary_state,macro_region,n_municipalities,ac_pct,hdi,gdp_per_capita_brl,elderly_pct,urban_pct,hospital_beds_per_1000,physicians_per_1000,mean_temp_annual,is_good
250003,4525,9768,24.5041108957927,1.10661666500206,0.632235969067492,1.9369357378804,1.03818199217486,0.808994676520919,1.33229782612578,True,Good,Good,Good,Good,,,,,,,,,,,,,1
250004,3234,4960,22.6490317153931,2.15193806579477,0.893129872890126,5.18495414785687,1.0,1.0,1.0,True,Partial,High,Good,Good,,,,,,,,,,,,,0
250005,5479,69717,27.2218913269043,1.0,1.0,1.0,1.27815261267745,1.0319494867185,1.58309502773156,True,Good,Good,Good,Good,,,,,,,,,,,,,1
250006,3969,7305,24.6641600992222,1.58830355490227,1.06835156342427,2.36130901931702,1.14514268296127,0.745275553386988,1.75955290413075,True,Partial,High,Good,Good,,,,,,,,,,,,,0
250007,3114,4733,27.8361127281189,1.0,1.0,1.0,2.14208025772039,1.12912598880058,4.06376956692814,True,Partial,Good,High,Good,,,,,,,,,,,,,0
250008,3174,4724,26.105776683923,1.23242128756126,0.776054262743266,1.95715983140811,2.06438309633969,1.22782609228108,3.47091301874487,True,Partial,Good,High,Good,,,,,,,,,,,,,0
250009,5277,18372,28.565784358015,1.13725691726187,0.909115722349772,1.42264979481056,1.22148084763493,0.957416994925051,1.55837578510473,True,Good,Good,Good,Good,,,,,,,,,,,,,1
250010,4268,8415,26.3593288858972,1.06007001879605,0.755436567814547,1.48754838278643,1.40772962520473,0.978126639782695,2.0260185308104,True,Good,Good,Good,Good,,,,,,,,,,,,,1
250011,4089,7625,30.8285897827148,1.0,1.0,1.0,1.16605221020886,0.705027729999324,1.92854507571534,True,Good,Good,Good,Good,,,,,,,,,,,,,1
250012,3411,5417,24.8009082794189,1.0326803356806,0.525733807441306,2.02845748286874,1.0,1.0,1.0,True,Good,Good,Good,Good,,,,,,,,,,,,,1
250013,2788,3933,21.739582195282,1.16294576736693,0.521908958951737,2.59133865138675,1.0,1.0,1.0,True,Good,Good,Good,Good,,,,,,,,,,,,,1
250014,4679,10803,28.5363860190035,1.29835987796536,0.948866103475336,1.77658192924796,1.05955632908408,0.802805738496404,1.39842001703274,True,Good,Good,Good,Good,,,,,,,,,,,,,1
