intermediate_code,intermediate_name,pop_total,pop_elderly,gdp_total,pop_urban,n_municipalities,pct_elderly,gdp_per_capita,urbanization_rate
1702,Araguaína,629867,80710.0,17645004,446766.0,65,12.813816250097243,28013.85689359817,70.93021225115778
1703,Gurupi,262853,39180.0,10836339,204493.0,32,14.90566970892476,41225.852472674844,77.79747615587421
2101,São Luís,3151355,373349.0,56447300,1844531.0,73,11.847253007039829,17912.072743312005,58.531361906227644
2102,Santa Inês - Bacabal,1174204,145978.0,20040157,715007.0,59,12.432081648504008,17067.014760637845,60.89291128287759
2103,Caxias,736321,96060.0,8901925,514754.0,14,13.04594056124978,12089.73396113923,69.90891200984353
2104,Presidente Dutra,456540,63378.0,5617015,265780.0,28,13.882244710211591,12303.44548122837,58.216147544574405
2105,Imperatriz,1258279,143196.0,33974330,807077.0,43,11.380305957581745,27000.63340483311,64.14133908298557
2201,Teresina,1590860,238863.0,31710786,1145199.0,65,15.014709025307067,19933.109135939052,71.98615843003155
2202,Parnaíba,615176,90046.0,7919997,361792.0,30,14.637437091173908,12874.359532881646,58.81113697543468
2203,Picos,474020,76758.0,7136417,220820.0,58,16.19298763765242,15055.096831357327,46.584532298215265
2204,São Raimundo Nonato,161408,23766.0,2771528,64172.0,21,14.724177240285488,17170.945678033306,39.75763283108644
2205,Corrente - Bom Jesus,192162,26494.0,5270953,102457.0,22,13.787325277630332,27429.736368272603,53.31803374236321
2206,Floriano,237573,37972.0,9218631,156519.0,28,15.983297765318449,38803.361493098964,65.8824866462098
2301,Fortaleza,4766054,665770.0,134823616,3984955.0,51,13.968998253062177,28288.31062342139,83.61120121593251
2302,Quixadá,855834,139850.0,14890677,485572.0,31,16.340785713117263,17399.02481088622,56.73670361308385
2303,Iguatu,407640,75739.0,5585561,246683.0,15,18.57987439897949,13702.1906584241,60.51491512118537
2304,Juazeiro do Norte,1045233,155580.0,14817597,672081.0,30,14.884719483598394,14176.357807302295,64.29963462692051
2305,Crateús,355672,64853.0,3908301,198544.0,13,18.233934636406577,10988.497829460852,55.82221822353179
2306,Sobral,1364524,188741.0,20859055,758734.0,44,13.832002954876572,15286.689717439927,55.60429864187072
2401,Natal,2103416,306615.0,51096071,1590073.0,75,14.577002361872307,24291.947479718707,75.59479437258251
2402,Caicó,284208,50139.0,5298888,218171.0,24,17.64165681472724,18644.401283566964,76.76455272195012
2403,Mossoró,915105,141137.0,23785776,656747.0,68,15.423038886248024,25992.400872031078,71.76739281284661
2501,João Pessoa,1942996,284016.0,45263702,1484881.0,63,14.617425872209722,23295.828709889265,76.42223658720863
2502,Campina Grande,1132979,181666.0,19238367,756075.0,72,16.034366038558527,16980.338558790587,66.73336398997687
2503,Patos,609232,99348.0,8585741,419244.0,63,16.307088268508547,14092.728221761168,68.81516400976967
2504,Sousa - Cajazeiras,289480,50298.0,4382519,178478.0,25,17.375293629957163,15139.280779328452,61.65469117037446
2601,Recife,5312978,821020.0,160119836,4749092.0,71,15.453103701916326,30137.492758298642,89.386630247669
2602,Caruaru,2241191,314270.0,36977375,1478939.0,64,14.022455025029105,16498.98424543022,65.98897639692467
2603,Serra Talhada,503715,76812.0,7633689,287597.0,25,15.249099192996042,15154.777999463982,57.0951827918565
2604,Petrolina,1001047,120057.0,16082621,536582.0,25,11.99314317909149,16065.80010728767,53.602078623681
2701,Maceió,2014928,258999.0,55970354,1702107.0,52,12.854007686627018,27777.84317851556,84.47482986985143
2702,Arapiraca,1112755,150222.0,20295266,595753.0,50,13.500006740028129,18238.75516173821,53.538559700922484
2801,Aracaju,1532468,201299.0,37932859,1177185.0,46,13.135608704390563,24752.790270335172,76.81628588655684
