age,qx,dx,lx,Lx,Tx,ex,year
27,1.38264515163855,134.1987140827826,97059.40379839753,96992.30444135613,5049033.603963676,52.02003521936982,2021
28,1.403594110490293,136.04364701440798,96925.20508431474,96857.18326080753,4952041.29952232,51.091367773888784,2021
29,1.4398746163080844,139.36425668731408,96789.16143730034,96719.47930895668,4855184.116261512,50.16247732869018,2021
30,1.4817962672768394,143.21530869529596,96649.79718061302,96578.18952626537,4758464.636952556,49.23408817982554,2021
31,1.5244234858797474,147.11689994752808,96506.58187191773,96433.02342194397,4661886.44742629,48.306409334997326,2021
32,1.572774441365777,151.55170369159558,96359.4649719702,96283.6891201244,4565453.424004346,47.379397813514025,2021
33,1.6267923277553615,156.51029517418885,96207.9132682786,96129.65812069151,4469169.734884222,46.453244676680704,2021
34,1.6880034485402062,162.13509945572528,96051.40297310441,95970.33542337656,4373040.07676353,45.528122873832835,2021
35,1.7595366567828472,168.7206818157547,95889.26787364869,95804.9075327408,4277069.741340154,44.60425901860009,2021
36,1.8426437860577427,176.37887148107785,95720.54719183293,95632.35775609239,4181264.8338074135,43.681998865173306,2021
37,1.9364732913753409,185.01873009903133,95544.16832035185,95451.65895530232,4085632.4760513213,42.76171479511473,2021
38,2.041717574988805,194.69645165440562,95359.14959025281,95261.8013644256,3990180.817096019,41.84371226296965,2021
39,2.1601553347817513,205.57000112893132,95164.4531385984,95061.66813803394,3894919.0157315936,40.928297145353184,2021
40,2.291631638952507,217.61078099741874,94958.88313746947,94850.07774697075,3799857.3475935594,40.01581760489544,2021
41,2.4401262056547495,231.18066143410138,94741.27235647205,94625.682025755,3705007.269846589,39.10658129971261,2021
42,2.6114124539158103,246.8048304731473,94510.09169503795,94386.68927980137,3610381.587820834,38.20101666466153,2021
43,2.808783090306841,264.76512618193254,94263.2868645648,94130.90430147384,3515994.898541033,37.29972734340071,2021
44,3.0306570545750176,284.8772830260532,93998.52173838287,93856.08309686984,3421863.994239559,36.40338093574819,2021
45,3.2739317996619626,306.81208064460765,93713.64445535681,93560.23841503452,3328007.911142689,35.51252254124085,2021
46,3.5353804796422383,330.2286918427722,93406.8323747122,93241.71802879081,3234447.6727276547,34.627527671126856,2021
47,3.8148654298797395,355.0747177203959,93076.60368286943,92899.06632400924,3141205.954698864,33.74860953673793,2021
48,4.111535018757832,381.2278133329788,92721.52896514903,92530.91505848254,3048306.888374855,32.87593423443883,2021
49,4.427640075415638,408.84961795572957,92340.30115181605,92135.8763428382,2955775.9733163724,32.00959858747701,2021
50,4.768962021192194,438.4176009180507,91931.45153386032,91712.2427334013,2863640.096973534,31.149732210187004,2021
51,5.137132472984939,470.0118356688306,91493.03393294227,91258.02801510785,2771927.854240133,30.296600026093287,2021
52,5.529378316872204,503.3007247208433,91023.02209727344,90771.37173491302,2680669.826225025,29.450459504193102,2021
53,5.946382994947756,538.2649318771557,90519.7213725526,90250.58890661402,2589898.454490112,28.611427600741838,2021
54,6.391688246352474,575.1334175215422,89981.45644067544,89693.88973191466,2499647.865583498,27.779588867085188,2021
55,6.875372886230488,614.7018091709568,89406.32302315389,89098.9721185684,2409953.9758515833,26.95507313534713,2021
56,7.3982407052701635,656.9017863522183,88791.62121398293,88463.17032080682,2320855.0037330147,26.138220836624683,2021
57,7.953775867020578,701.0038044301189,88134.71942763071,87784.21752541565,2232391.8334122077,25.329312306318418,2021
58,8.542421668071826,746.895666859659,87433.7156232006,87060.26778977076,2144607.615886792,24.52838245064492,2021
59,9.173485469271162,795.2202832468189,86686.81995634093,86289.20981471753,2057547.3480970215,23.735411555450845,2021
60,9.859939739007396,846.8859968636554,85891.59967309411,85468.15667466228,1971258.138282304,22.950534694719494,2021
61,10.61518715789877,902.7655524630994,85044.71367623046,84593.33089999891,1885789.9816076416,22.174099953901187,2021
62,11.447710881174102,963.2326950996385,84141.94812376736,83660.33177621754,1801196.6507076425,21.406643070091494,2021
63,12.368678067423302,1028.8107531990067,83178.71542866773,82664.31005206822,1717536.318931425,20.648747820641052,2021
64,13.3855256769152,1099.6196583896226,82149.90467546872,81600.0948462739,1634872.0088793568,19.9010822390833,2021
65,14.482817176951324,1173.8364600421535,81050.28501707909,80463.36678705801,1553271.9140330828,19.164299221227587,2021
66,15.68496308183004,1252.8591467248207,79876.44855703694,79250.01898367453,1472808.5472460247,18.43858326017517,2021
67,17.04603011506543,1340.22007284272,78623.58941031212,77953.47937389076,1393558.5282623502,17.72443281608272,2021
68,18.59697732544647,1437.2370672030233,77283.3693374694,76564.75080386788,1315605.0488884596,17.0231326631694,2021
69,20.332060215263358,1542.1081284138852,75846.13227026637,75075.07820605944,1239040.2980845917,16.336235757803134,2021
70,22.206893751149416,1650.0615694009596,74304.0241418525,73478.99335715201,1163965.2198785322,15.664901508650821,2021
71,24.221701245667077,1759.8025757437986,72653.96257245154,71774.06128457963,1090486.2265213802,15.009315223982895,2021
72,26.434341013182692,1874.040401196107,70894.15999670773,69957.13979610968,1018712.1652368006,14.369479309496137,2021
73,28.870515211896794,1992.6464127091544,69020.11959551163,68023.79638915704,948755.0254406909,13.7460646402935,2021
74,31.534683249526825,2113.6901358358296,67027.47318280247,65970.62811488454,880731.2290515339,13.13985426020068,2021
75,34.39346678477093,2232.6100410996733,64913.78304696664,63797.4780264168,814760.6009366493,12.551426872581914,2021
76,37.46708706374441,2348.4809662684434,62681.173005866964,61506.93252273274,750963.1229102324,11.98068075145853,2021
77,40.83424833650205,2463.6401295546666,60332.69203959852,59100.87197482119,689456.1903874996,11.427572135103548,2021
78,44.54367425007475,2577.7001974416594,57869.051910043854,56580.20181132303,630355.3184126784,10.8927880725012,2021
79,48.60682448107318,2687.53702801574,55291.3517126022,53947.58319859433,573775.1166013554,10.377303119369724,2021
0,12.8396955248801,1283.96955248801,100000.0,98873.7936256944,7545300.47876312,75.4530047876312,2022
1,0.895944870577358,88.4441211232042,98716.030447512,98671.8083869504,7446426.68513742,75.4328010494379,2022
2,0.6758696706738431,66.6593942897598,98627.5863263888,98594.2566292439,7347754.87675047,74.4999969119645,2022
3,0.513786286635075,50.6392526557611,98560.926932099,98535.6073057711,7249160.62012123,73.5500450915539,2022
4,0.396941353155585,39.1028068912274,98510.2876794433,98490.7362759977,7150625.01281546,72.5875964963568,2022
5,0.314722267567492,30.9910745931411,98471.184872552,98455.6893352555,7052134.27653946,71.6162224072636,2022
6,0.25901949380412703,25.4979291675263,98440.1937979589,98427.4448333751,6953678.5872042,70.6386113123274,2022
7,0.223633546840036,22.0088274983282,98414.6958687914,98403.6914550422,6855251.14237083,69.6567832868213,2022
8,0.204271701935782,20.0988416399632,98392.687041293,98382.6376204731,6756847.45091579,68.6722525229959,2022
9,0.198779406178909,19.5544446666172,98372.5881996531,98362.8109773198,6658464.81329531,67.6861810302435,2022
10,0.206946159466516,20.3537826074753,98353.0337549865,98342.8568636827,6560102.00231799,66.6995389146845,2022
11,0.230867238979832,22.7017943267128,98332.679972379,98321.3290752156,6461759.14545431,65.7132414907168,2022
12,0.2749253365975,27.0279038414737,98309.9781780523,98296.4642261315,6363437.8163791,64.7283005683724,2022
13,0.346612729253514,34.0661216336302,98282.9502742108,98265.917213394,6265141.35215296,63.7459634114883,2022
14,0.454613240642122,44.6652436140721,98248.8841525772,98226.5515307701,6166875.43493957,62.7678928685096,2022
15,0.607291859797646,59.6386227412149,98204.2189089631,98174.3995975925,6068648.8834088,61.7962135520322,2022
16,0.803974439980966,78.9057339727733,98144.5802862219,98105.1274192355,5970474.48381121,60.8334608635478,2022
17,1.0286065936711,100.870999457256,98065.6745522491,98015.2390525205,5872369.35639197,59.8820064533711,2022
18,1.2523116989320602,122.682469572726,97964.8035527919,97903.4623180055,5774354.11733945,58.9431500694812,2022
19,1.4383111575859,140.727414435867,97842.1210832191,97771.7573760012,5676450.65502145,58.0164308804525,2022
20,1.5696132171070198,153.353398832303,97701.3936687833,97624.7169693671,5578678.89764544,57.0992765626014,2022
21,1.64605417304532,160.569358758745,97548.040269951,97467.7555905716,5481054.18067608,56.1882551972136,2022
22,1.68309453730062,163.912320292147,97387.4709111922,97305.5147510461,5383586.42508551,55.2800722178606,2022
23,1.7008720576685998,165.364834154359,97223.5585909001,97140.8761738229,5286280.91033446,54.3724277011729,2022
24,1.71136365352875,166.101865072458,97058.1937567457,96975.1428242095,5189140.03416064,53.4642139247515,2022
25,1.72287525939761,166.932987951441,96892.0918916732,96808.6253976975,5092164.89133643,52.5550103410869,2022
26,1.73672132394447,167.984646030003,96725.1589037218,96641.1665807068,4995356.26593873,51.6448494120439,2022
27,1.7524956271151801,169.216025653208,96557.1742576918,96472.5662448652,4898715.09935802,50.7338282941497,2022
28,1.7700735468212898,170.613775098638,96387.9582320386,96302.6513444893,4802242.53311316,49.8220174096076,2022
29,1.7896859999960102,172.198834331386,96217.34445694,96131.2450397743,4705939.88176867,48.9094758157113,2022
30,1.81288423967423,174.118730796428,96045.1456226086,95958.0862572104,4609808.63672889,47.9962689092302,2022
31,1.84164418527239,176.560319211407,95871.0268918121,95782.7467322064,4513850.55047168,47.0825305289099,2022
32,1.8778229712582002,179.697267552328,95694.4665726007,95604.6179388246,4418067.80373948,46.1684772586889,2022
33,1.92317892991389,183.691991823056,95514.7693050484,95422.9233091369,4322463.18580065,45.2543959143729,2022
34,1.97854002936425,188.616352506637,95331.0773132254,95236.769136972,4227040.26249152,44.3406324739508,2022
35,2.0444274529309903,194.51185912751,95142.4609607187,95045.205031155,4131803.49335454,43.4275448798874,2022
36,2.12105405986317,201.389732917611,94947.9491015912,94847.2542351324,4036758.28832339,42.5154869222524,2022
37,2.20868861655034,209.265647134904,94746.5593686736,94641.9265451061,3941911.03408826,41.6047934653718,2022
38,2.30866375316321,218.254823337047,94537.2937215387,94428.1663098702,3847269.10754315,40.695782120391,2022
39,2.42307408006433,228.542018410808,94319.0388982016,94204.7678889962,3752840.94123328,39.7887954019942,2022
40,2.5552693194849003,240.426559932035,94090.4968797908,93970.2835998248,3658636.17334428,38.8842262999049,2022
41,2.70940651000526,254.277991489071,93850.0703198588,93722.9313241143,3564665.88974446,37.9825596037957,2022
42,2.88854217431942,270.355393479331,93595.7923283697,93460.6146316301,3470942.95842035,37.0843909974388,2022
43,3.09491458188956,288.834255631024,93325.4369348904,93181.0198070749,3377482.34378872,36.1903726863348,2022
44,3.32704184039763,309.536669802357,93036.6026792594,92881.8343443582,3284301.32398164,35.3011742626089,2022
45,3.58040329544259,332.00029271697,92727.066009457,92561.0658630985,3191419.48963728,34.4173457328176,2022
46,3.84839154061325,355.572389298715,92395.06571674,92217.2795220907,3098858.42377418,33.5392198678066,2022
47,4.122732748553211,379.454233301294,92039.4933274413,91849.7662107907,3006641.14425209,32.6668589271305,2022
48,4.40043966584419,403.344471802688,91660.03909414,91458.3668582387,2914791.3780413,31.800023290931,2022
49,4.68312498709552,427.366506825609,91256.6946223374,91043.0113689245,2823333.01118306,30.9383659233696,2022
50,4.98063341280699,452.387586474928,90829.3281155117,90603.1343222743,2732289.99981414,30.081583300268,2022
51,5.30960184851791,479.865570496375,90376.9405290368,90137.0077437886,2641686.86549186,29.2296558173833,2022
52,5.68549091672297,511.10900311674,89897.0749585404,89641.5204569821,2551549.85774808,28.3830131172213,2022
53,6.123041335975651,547.313964401168,89385.9659554237,89112.3089732231,2461908.33729109,27.542448201755,2022
54,6.627411989161851,588.770347306272,88838.6519910225,88544.2668173694,2372796.02831787,26.7090503417099,2022
55,7.19433974730834,634.899631204651,88249.8816437163,87932.4318281139,2284251.7615005,25.8839073657064,2022
56,7.81287389971747,684.524806189773,87614.9820125116,87272.7196094167,2196319.32967239,25.0678511736583,2022
57,8.465093008124581,735.874405490293,86930.4572063218,86562.5200035767,2109046.61006297,24.2613081518407,2022
58,9.141549494839941,787.952044860882,86194.5828008315,85800.6067784011,2022484.09005939,23.4641670548219,2022
59,9.84316252677184,840.671347395008,85406.6307559707,84986.2950822732,1936683.48328099,22.676031897507,2022
60,10.5864865271896,895.256389937756,84565.9594085757,84118.3312136068,1851697.18819872,21.8964841308351,2022
61,11.4052402199544,954.284467300036,83670.7030186379,83193.5607849879,1767578.85698511,21.1254213627365,2022
62,12.3316416001443,1020.02922802261,82716.4185513379,82206.4039373266,1684385.29620013,20.3633731452567,2022
63,13.3947162348562,1094.29995239814,81696.3893233152,81149.2393471162,1602178.8922628,19.6113794689523,2022
64,14.6046685156664,1177.16679693238,80602.0893709171,80013.5059724509,1521029.65291568,18.8708464605199,2022
65,15.9456991045945,1266.48591677047,79424.9225739847,78791.6796155995,1441016.14694323,18.1431230933958,2022
66,17.389014307804498,1359.09817330792,78158.4366572143,77478.8875705603,1362224.46732763,17.4290137519261,2022
67,18.891606204668,1450.86285941697,76799.3384839063,76073.9070541979,1284745.57975707,16.7286021614144,2022
68,20.4308525968612,1539.43359888213,75348.4756244894,74578.7588250483,1208671.67270287,16.0410899183478,2022
69,22.019646609424097,1625.24902198401,73809.0420256072,72996.4175146152,1134092.91387783,15.3652300958515,2022
70,23.7079310018242,1711.32838397985,72183.7930036232,71328.1288116333,1061096.49636321,14.6999271195121,2022
71,25.595123948054702,1803.75146686468,70472.4646196434,69570.588886211,989768.367551577,14.0447531229905,2022
72,27.779198573233,1907.56181843941,68668.7131527787,67714.932243559,920197.778665366,13.4005391453608,2022
73,30.3427881399102,2025.71947091434,66761.1513343393,65748.2915988821,852482.846421807,12.7691453694766,2022
